国家/地区,点击次数,展示,点击率,排名
美国,176,17081,1.03%,12.62
加拿大,54,2464,2.19%,9.06
澳大利亚,14,544,2.57%,12.3
新加坡,12,447,2.68%,7.77
印度,9,788,1.14%,12.68
中国香港,7,184,3.8%,6.97
意大利,6,291,2.06%,7.58
以色列,6,163,3.68%,9.99
英国,5,834,0.6%,16.22
丹麦,5,100,5%,9.94
法国,4,447,0.89%,7.69
瑞典,4,122,3.28%,9.77
荷兰,3,270,1.11%,9.71
泰国,3,103,2.91%,7.84
罗马尼亚,3,90,3.33%,6.86
挪威,3,74,4.05%,8.54
墨西哥,2,316,0.63%,8
菲律宾,2,261,0.77%,11.04
马来西亚,2,194,1.03%,7.45
比利时,2,121,1.65%,15.16
阿拉伯联合酋长国,2,110,1.82%,7.94
希腊,2,72,2.78%,9.12
匈牙利,2,62,3.23%,6.98
芬兰,2,44,4.55%,7.64
巴西,1,863,0.12%,8.63
德国,1,529,0.19%,8.21
印度尼西亚,1,298,0.34%,7.53
越南,1,236,0.42%,11.51
中国,1,227,0.44%,7.35
哥伦比亚,1,172,0.58%,8.36
土耳其,1,165,0.61%,8.63
葡萄牙,1,139,0.72%,8.06
瑞士,1,106,0.94%,7.8
捷克,1,102,0.98%,7.34
秘鲁,1,90,1.11%,7.18
乌克兰,1,80,1.25%,8.7
摩洛哥,1,61,1.64%,10.44
爱尔兰,1,59,1.69%,7.2
斯洛文尼亚,1,57,1.75%,12.74
多米尼加共和国,1,53,1.89%,8.72
克罗地亚,1,47,2.13%,7.64
哈萨克斯坦,1,38,2.63%,8.58
立陶宛,1,34,2.94%,7.88
波多黎各,1,27,3.7%,6.74
冰岛,1,24,4.17%,19.92
塞尔维亚,1,23,4.35%,6.65
格鲁吉亚,1,16,6.25%,11.12
黎巴嫩,1,11,9.09%,6.36
西班牙,0,352,0%,8.85
日本,0,335,0%,7.16
阿根廷,0,243,0%,9.22
韩国,0,165,0%,7.93
波兰,0,146,0%,7.52
厄瓜多尔,0,120,0%,9.5
智利,0,100,0%,6.62
台湾,0,98,0%,8.63
孟加拉,0,88,0%,10.26
沙特阿拉伯,0,87,0%,8.82
俄罗斯,0,82,0%,9.45
奥地利,0,79,0%,7.28
埃及,0,75,0%,11.71
巴基斯坦,0,73,0%,10.84
新西兰,0,68,0%,15.59
斯洛伐克,0,53,0%,7.89
阿尔及利亚,0,51,0%,10.18
保加利亚,0,47,0%,7.19
伊朗,0,44,0%,8.23
尼日利亚,0,44,0%,17.05
委内瑞拉,0,41,0%,11.22
南非,0,39,0%,15.54
巴拿马,0,29,0%,7.59
波斯尼亚和黑塞哥维那,0,29,0%,9.31
塞浦路斯,0,28,0%,8.5
爱沙尼亚,0,28,0%,17.93
卢森堡,0,26,0%,18.96
牙买加,0,24,0%,7.67
拉脱维亚,0,23,0%,12.09
乌拉圭,0,22,0%,5.91
伊拉克,0,22,0%,12
约旦,0,20,0%,7.05
尼泊尔,0,20,0%,8.55
埃塞俄比亚,0,20,0%,12.2
危地马拉,0,19,0%,5.21
阿尔巴尼亚,0,19,0%,6.79
蒙古,0,18,0%,7.06
卡塔尔,0,18,0%,9.67
哥斯达黎加,0,17,0%,6.06
白俄罗斯,0,17,0%,8.82
洪都拉斯,0,16,0%,6
肯尼亚,0,16,0%,31.75
突尼斯,0,15,0%,10
塞舌尔,0,14,0%,8.14
柬埔寨,0,14,0%,10.36
阿曼,0,13,0%,12.46
巴拉圭,0,12,0%,5.92
巴哈马,0,12,0%,6.75
巴巴多斯,0,12,0%,8.58
乌兹别克斯坦,0,12,0%,11.25
特立尼达和多巴哥,0,11,0%,6
马其顿,0,11,0%,7.36
加纳,0,11,0%,7.64
萨尔瓦多,0,10,0%,4.9
斯里兰卡,0,10,0%,7.4
巴勒斯坦,0,9,0%,5.56
玻利维亚,0,9,0%,6.22
科威特,0,9,0%,9.11
坦桑尼亚,0,9,0%,9.33
摩尔多瓦,0,9,0%,11.11
澳门,0,8,0%,7.88
阿塞拜疆,0,8,0%,9.88
巴林,0,8,0%,10
未知地区,0,7,0%,5.29
文莱,0,7,0%,6.43
马耳他,0,7,0%,8.43
缅甸,0,7,0%,8.86
塞内加尔,0,7,0%,9.57
安道尔,0,7,0%,38.43
科索沃,0,6,0%,4.67
叙利亚,0,6,0%,6.83
安提瓜和巴布达,0,6,0%,8.67
古巴,0,6,0%,9.33
尼加拉瓜,0,5,0%,5.8
吉尔吉斯斯坦,0,5,0%,7
马尔代夫,0,5,0%,7
乌干达,0,5,0%,9.8
老挝,0,5,0%,12.8
毛里求斯,0,4,0%,3.75
关岛,0,4,0%,6.75
赞比亚,0,4,0%,7
亚美尼亚,0,4,0%,7.25
圣卢西亚,0,4,0%,8
圭亚那,0,4,0%,8.5
黑山,0,4,0%,9.25
美属维尔京群岛,0,4,0%,10
卢旺达,0,4,0%,14
喀麦隆,0,4,0%,16.75
阿富汗,0,3,0%,6.67
开曼群岛,0,3,0%,8
阿鲁巴,0,3,0%,8.33
安哥拉,0,3,0%,9
利比亚,0,3,0%,9
库拉索,0,2,0%,1.5
瓜德罗普,0,2,0%,3
布基纳法索,0,2,0%,3.5
摩纳哥,0,2,0%,3.5
百慕大,0,2,0%,4.5
特克斯和凯科斯群岛,0,2,0%,6
直布罗陀,0,2,0%,6.5
巴布亚新几内亚,0,2,0%,6.5
伯利兹,0,2,0%,7
科特迪瓦,0,2,0%,9.5
莫桑比克,0,2,0%,10.5
荷属圣马丁岛,0,1,0%,1
索马里,0,1,0%,2
土库曼斯坦,0,1,0%,2
安圭拉,0,1,0%,3
奥兰群岛,0,1,0%,3
朝鲜,0,1,0%,3
刚果 - 金沙萨,0,1,0%,4
法罗群岛,0,1,0%,4
布隆迪,0,1,0%,5
曼岛,0,1,0%,5
苏丹,0,1,0%,5
苏里南,0,1,0%,5
圣基茨和尼维斯,0,1,0%,6
留尼汪岛,0,1,0%,6
圣文森特和格林纳丁斯,0,1,0%,6
几内亚,0,1,0%,7
海地,0,1,0%,7
泽西岛,0,1,0%,7
马达加斯加,0,1,0%,8
斯威士兰,0,1,0%,9
也门,0,1,0%,10
贝宁,0,1,0%,11
塔吉克斯坦,0,1,0%,11
刚果 - 布拉柴维尔,0,1,0%,15
佛得角,0,1,0%,19
加蓬,0,1,0%,51
